Date,Open,High,Low,Close,Adj Close,Volume
Nov 17 2025,268.72,270.49,265.73,266.45,266.45,28319936
Nov 14 2025,271.05,275.96,269.6,272.41,272.41,47399300
Nov 13 2025,274.11,276.7,272.09,272.95,272.95,49602800
Nov 12 2025,275,275.73,271.7,273.47,273.47,48398000
Nov 11 2025,269.81,275.91,269.8,275.25,275.25,46208300
Nov 10 2025,268.96,273.73,267.46,269.43,269.43,41312400
Nov 7 2025,269.8,272.29,266.77,268.47,268.21,48227400
Nov 6 2025,267.89,273.4,267.89,269.77,269.51,51204000
Nov 5 2025,268.61,271.7,266.93,270.14,269.88,43683000
Nov 4 2025,268.33,271.49,267.62,270.04,269.78,49274800
Nov 3 2025,270.42,270.85,266.25,269.05,268.79,50194600
Oct 31 2025,276.99,277.32,269.16,270.37,270.11,86167100
Oct 30 2025,271.99,274.14,268.48,271.4,271.14,69886500
Oct 29 2025,269.28,271.41,267.11,269.7,269.44,51086700
Oct 28 2025,268.99,269.89,268.15,269,268.74,41534800
Oct 27 2025,264.88,269.12,264.65,268.81,268.55,44888200
Oct 24 2025,261.19,264.13,259.18,262.82,262.57,38253700
Oct 23 2025,259.94,260.62,258.01,259.58,259.33,32754900
Oct 22 2025,262.65,262.85,255.43,258.45,258.2,45015300
Oct 21 2025,261.88,265.29,261.83,262.77,262.52,46695900
Oct 20 2025,255.89,264.38,255.63,262.24,261.99,90483000
Oct 17 2025,248.02,253.38,247.27,252.29,252.05,49147000
Oct 16 2025,248.25,249.04,245.13,247.45,247.21,39777000
Oct 15 2025,249.49,251.82,247.47,249.34,249.1,33893600
Oct 14 2025,246.6,248.85,244.7,247.77,247.53,35478000
Oct 13 2025,249.38,249.69,245.56,247.66,247.42,38142900
Oct 10 2025,254.94,256.38,244,245.27,245.03,61999100
Oct 9 2025,257.81,258,253.14,254.04,253.79,38322000
Oct 8 2025,256.52,258.52,256.11,258.06,257.81,36496900
Oct 7 2025,256.81,257.4,255.43,256.48,256.23,31955800
Oct 6 2025,257.99,259.07,255.05,256.69,256.44,44664100
Oct 3 2025,254.67,259.24,253.95,258.02,257.77,49155600
Oct 2 2025,256.58,258.18,254.15,257.13,256.88,42630200
Oct 1 2025,255.04,258.79,254.93,255.45,255.2,48713900
Sep 30 2025,254.86,255.92,253.11,254.63,254.38,37704300
Sep 29 2025,254.56,255,253.01,254.43,254.18,40127700
Sep 26 2025,254.1,257.6,253.78,255.46,255.21,46076300
Sep 25 2025,253.21,257.17,251.71,256.87,256.62,55202100
Sep 24 2025,255.22,255.74,251.04,252.31,252.07,42303700
Sep 23 2025,255.88,257.34,253.58,254.43,254.18,60275200
Sep 22 2025,248.3,256.64,248.12,256.08,255.83,105517400
Sep 19 2025,241.23,246.3,240.21,245.5,245.26,163741300
Sep 18 2025,239.97,241.2,236.65,237.88,237.65,44249600
Sep 17 2025,238.97,240.1,237.73,238.99,238.76,46508000
Sep 16 2025,237.18,241.22,236.32,238.15,237.92,63421100
Sep 15 2025,237,238.19,235.03,236.7,236.47,42699500
Sep 12 2025,229.22,234.51,229.02,234.07,233.84,55824200
Sep 11 2025,226.88,235,226.65,230.03,229.81,50208600
Sep 10 2025,232.19,232.42,225.95,226.79,226.57,83440800
Sep 9 2025,237,238.78,233.36,234.35,234.12,66313900
Sep 8 2025,239.3,240.15,236.34,237.88,237.65,48999500
Sep 5 2025,240,241.32,238.49,239.69,239.46,54870400
Sep 4 2025,238.45,239.9,236.74,239.78,239.55,47549400
Sep 3 2025,237.21,238.85,234.36,238.47,238.24,66427800
Sep 2 2025,229.25,230.85,226.97,229.72,229.5,44075600
Aug 29 2025,232.51,233.38,231.37,232.14,231.92,39418400
Aug 28 2025,230.82,233.41,229.34,232.56,232.33,38074700
Aug 27 2025,228.61,230.9,228.26,230.49,230.27,31259500
Aug 26 2025,226.87,229.49,224.69,229.31,229.09,54575100
Aug 25 2025,226.48,229.3,226.23,227.16,226.94,30983100
Aug 22 2025,226.17,229.09,225.41,227.76,227.54,42477800
Aug 21 2025,226.27,226.52,223.78,224.9,224.68,30621200
Aug 20 2025,229.98,230.47,225.77,226.01,225.79,42263900
Aug 19 2025,231.28,232.87,229.35,230.56,230.34,39402600
Aug 18 2025,231.7,233.12,230.11,230.89,230.67,37476200
Aug 15 2025,234,234.28,229.34,231.59,231.37,56038700
Aug 14 2025,234.06,235.12,230.85,232.78,232.55,51916300
Aug 13 2025,231.07,235,230.43,233.33,233.1,69878500
Aug 12 2025,228.01,230.8,227.07,229.65,229.43,55626200
Aug 11 2025,227.92,229.56,224.76,227.18,226.96,61806100
Aug 8 2025,220.83,231,219.25,229.35,228.87,113854000
Aug 7 2025,218.88,220.85,216.58,220.03,219.57,90224800
Aug 6 2025,205.63,215.38,205.59,213.25,212.8,108483100
Aug 5 2025,203.4,205.34,202.16,202.92,202.49,44155100
Aug 4 2025,204.51,207.88,201.68,203.35,202.92,75109300
Aug 1 2025,210.87,213.58,201.5,202.38,201.95,104434500
Jul 31 2025,208.49,209.84,207.16,207.57,207.13,80698400
Jul 30 2025,211.9,212.39,207.72,209.05,208.61,45512500
Jul 29 2025,214.18,214.81,210.82,211.27,210.83,51411700
Jul 28 2025,214.03,214.85,213.06,214.05,213.6,37858000
Jul 25 2025,214.7,215.24,213.4,213.88,213.43,40268800
Jul 24 2025,213.9,215.69,213.53,213.76,213.31,46022600
Jul 23 2025,215,215.15,212.41,214.15,213.7,46989300
Jul 22 2025,213.14,214.95,212.23,214.4,213.95,46404100
Jul 21 2025,212.1,215.78,211.63,212.48,212.03,51377400
